N,forward,backward,random
5.24609,8,8,8
5.25,8,8,8
5.25391,8,8,8
5.25781,8,8,8
5.26172,8,8,8
5.26562,8,8,8
5.26953,8,8,8
5.27344,8,8,8
5.27734,8,8,8
5.28125,8,8,8
5.28516,8,8,8
5.28906,8,8,8
5.29297,8,8,8
5.29688,8,8,8
5.30078,8,8,8
5.30469,8,8,8
5.30859,8,8,8
5.3125,8,8,8
5.31641,8,8,8
5.32031,8,8,8
5.32422,8,8,8
5.32812,8,8,8
5.33203,8,8,8
5.33594,8,8,8
5.33984,8,8,8
5.34375,8,8,8
5.34766,8,8,8
5.35156,8,8,8
5.35547,8,8,8
5.35938,8,8,8
5.36328,8,8,8
5.36719,8,8,8
5.37109,8,8,8
5.375,8,8,8
5.37891,8,8,8
5.38281,8,8,8
5.38672,8,8,8
5.39062,8,8,8
5.39453,8,8,8
5.39844,8,8,8
5.40234,8,8,8
5.40625,8,8,8
5.41016,8,8,8
5.41406,8,8,8
5.41797,8,8,8
5.42188,8,8,8
5.42578,8,8,8
5.42969,8,8,8
5.43359,8,8,8
5.4375,8,8,8
5.44141,8,8,8
5.44531,8,8,8
5.44922,8,8,8
5.45312,8,8,8
5.45703,8,8,8
5.46094,8,8,8
5.46484,8,8,8
5.46875,8,8,8
5.47266,8,8,8
5.47656,8,8,8
5.48047,8,8,8
5.48438,8,8,8
5.48828,8,8,8
5.49219,8,8,8
5.49609,8,8,8
5.5,8,8,8
5.50391,8,8,8
5.50781,8,8,8
5.51172,8,8,8
5.51562,8,8,8
5.51953,8,8,8
5.52344,8,8,8
5.52734,8,8,8
5.53125,8,8,8
5.53516,8,8,8
5.53906,8,8,8
5.54297,8,8,8
5.54688,8,8,8
5.55078,8,8,8
5.55469,8,8,8
5.55859,8,8,8
5.5625,8,8,8
5.56641,8,8,8
5.57031,8,8,8
5.57422,8,8,8
5.57812,8,8,8
5.58203,8,8,8
5.58594,8,8,8
5.58984,8,8,8
5.59375,8,8,8
5.59766,8,8,8
5.60156,8,8,8
5.60547,8,8,8
5.60938,8,8,8
5.61328,8,8,8
5.61719,8,8,8
5.62109,8,8,8
5.625,8,8,8
5.62891,8,8,8
5.63281,8,8,8
5.63672,8,8,8
5.64062,8,8,8
5.64453,8,8,8
5.64844,8,8,8
5.65234,8,8,8
5.65625,8,8,8
5.66016,8,8,8
5.66406,8,8,8
5.66797,8,8,8
5.67188,8,8,8
5.67578,8,8,8
5.67969,8,8,8
5.68359,8,8,8
5.6875,8,8,8
5.69141,8,8,8
5.69531,8,8,8
5.69922,8,8,8
5.70312,8,8,8
5.70703,8,8,8
5.71094,8,8,8
5.71484,8,8,8
5.71875,8,8,8
5.72266,8,8,8
5.72656,8,8,8
